interaction_id,label,control_type,module,screen_or_stage,component_or_file,option_source,canonical_state_path,handler_name,recompute_required,recompute_path,render_consumers,export_consumers,legacy_dependency,status,notes,tier,surface,persistence_contract
campaign_selector,Campaign selector,context_selector,shell,v3 topbar context,js/app/v3/index.js,manual_text_input,state.campaignId,setShellContextPatch,yes,shellBridgeSetContext->loadState->render->notifyBridgeSync,v3 context mirror|all active stage views,state scoped exports and reports,none,PASS,Context lock aware,tier3,admin_support,campaignId+officeId scoped shell context
office_selector,Office selector,context_selector,shell,v3 topbar context,js/app/v3/index.js,manual_text_input,state.officeId,setShellContextPatch,yes,shellBridgeSetContext->loadState->render->notifyBridgeSync,v3 context mirror|all active stage views,state scoped exports and reports,none,PASS,Context lock aware,tier3,admin_support,campaignId+officeId scoped shell context
scenario_selector,Scenario selector,selector,scenarios,v3 scenarios stage,js/app/v3/surfaces/scenarios.js,scenarioBridgeStateView.scenarios,state.ui.scenarioUiSelectedId,selectScenario,yes,scenarioBridgeLoad->render->notifyBridgeSync,scenario workspace labels and active scenario surfaces,scenario scoped exports and archive rows,none,PASS,Selection and load split across controls,tier1,scenarios,campaignId+officeId+scenarioId scoped state snapshot
template_archetype_dropdown,Race template dropdown,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listDistrictRaceTypeOptions,state.raceType,setDistrictFormField,yes,districtBridgeSetFormField->setState->commitUIUpdate->render->notifyBridgeSync,district setup summary|template profile|downstream stage summaries,scenario exports|diagnostic snapshots,none,PASS,Canonical race template source from districtOptionRegistry,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
targeting_model_dropdown,Target model dropdown,dropdown,district,v3 district targeting block,js/app/v3/surfaces/district/index.js,listTargetModelOptions,state.targeting.presetId|state.targeting.modelId,applyDistrictTargetingPreset,yes,districtBridgeApplyTargetingPreset->setState->commitUIUpdate->render->notifyBridgeSync,targeting config controls|status cards|results table,targeting csv|targeting json,none,PASS,Canonical model option source from targetingRuntime,tier1,targeting,campaignId+officeId+scenarioId scoped state snapshot
support_turnout_threshold_controls,Support turnout threshold controls,numeric_group,turnout,v3 turnout assumptions card,js/app/v3/surfaces/turnout.js,direct_numeric_input,state.turnoutBaselinePct|state.turnoutTargetOverridePct,turnoutBridgeSetField,yes,commitUIUpdate->render,turnout summary and downstream KPI surfaces,summary text export and reports,none,PASS,Threshold changes must recompute,tier1,turnout,campaignId+officeId+scenarioId scoped state snapshot
workforce_role_selector,Workforce role selector,dropdown,operations,operations pipeline lead form,js/operationsPipeline.js,operations-pipeline leadRoleType canonical options organizer|volunteer|paid_canvasser,indexeddb:operations.persons[].workforceRole,saveLead->normalizePersonWorkforceFields->put,yes,renderPipeline->computeOperationalRollups->operationsCapacityOutlook.schedule->compileEffectiveInputs,operations pipeline table|operations hub aggregate workforce cards|planner capacity surfaces,operations snapshot json/csv|forecast archive workforce summaries|reporting workforce sections,none,PASS,Phase 14 canonical role typing wired,tier2,operations_workforce,campaignId+officeId scoped indexeddb persons store
budget_channel_selector,Budget channel selector,dropdown_group,turnout,v3 turnout efficiency card,js/app/v3/surfaces/turnout.js,TURNOUT_SELECT_OPTIONS.tacticKind,state.budget.tactics.doors.kind|phones.kind|texts.kind,turnoutBridgeSetField,yes,commitUIUpdate->render,turnout roi table and status banners,summary export and future client reports,none,PASS,Canonical channel-kind source,tier2,budget_channel_controls,campaignId+officeId+scenarioId scoped state snapshot
weather_zip_selector,Weather ZIP selector,text_input,war_room,v3 war room weather card,js/app/v3/surfaces/warRoom/index.js,direct_input,state.warRoom.weather.officeZip|state.warRoom.weather.overrideZip|state.warRoom.weather.useOverrideZip,decisionBridgeSetWeatherField,yes,decisionBridgeSetWeatherField->decisionBridgeRefreshWeather->applyWeatherObservationToState->render->notifyBridgeSync,war room weather risk card|3-day forecast|adjustment banner,war room report sections and operational notes,none,PASS,Phase 18.5 weather ZIP source wired,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
weather_mode_toggle,Weather mode toggle,toggle,war_room,v3 war room weather card,js/app/v3/surfaces/warRoom/index.js,static observe_only|today_only,state.warRoom.weatherAdjustment.mode,decisionBridgeSetWeatherMode,yes,decisionBridgeSetWeatherMode->applyWeatherModeToState->render->notifyBridgeSync,war room adjustment visibility|field risk framing,war room summaries and operational notes,none,PASS,Phase 18.5 today-only adjustment mode wired,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
event_category_selector,Event category selector,dropdown,events,war room event draft editor,js/app/v3/surfaces/warRoom/index.js,eventCalendar.options.categoryOptions,state.warRoom.eventCalendar.draft.category,decisionBridgeSetEventDraftField,yes,decisionBridgeSetEventDraftField->buildEventCalendarView->render->notifyBridgeSync,event draft fields|event table|war room impact summary,war room decision session context|future report selectors,none,PASS,Phase 18.75 canonical event draft category selector,tier2,event_calendar,campaignId+officeId+scenarioId scoped state snapshot
event_apply_to_model_toggle,Event apply to model toggle,toggle,events,war room event draft + table,js/app/v3/surfaces/warRoom/index.js,boolean toggle,state.warRoom.eventCalendar.events[].applyToModel,decisionBridgeSetEventApplyToModel,yes,decisionBridgeSetEventApplyToModel->deriveEventCapacityAdjustmentForState->compileEffectiveInputs->render->notifyBridgeSync,event table apply toggle|war room impact summary|effective capacity views,war room decision context|future event impact report sections,none,PASS,Capacity-only apply toggle; admin events forced false,tier2,event_calendar,campaignId+officeId+scenarioId scoped state snapshot
event_date_filter_selector,Event date filter selector,date_input,events,war room event filter row,js/app/v3/surfaces/warRoom/index.js,direct_input,state.warRoom.eventCalendar.filters.date,decisionBridgeSetEventFilter,yes,decisionBridgeSetEventFilter->buildEventCalendarView->render->notifyBridgeSync,event table rows|event summary|event impact text,war room decision context|future report selectors,none,PASS,Date-bound event visibility and capacity effect scope,tier2,event_calendar,campaignId+officeId+scenarioId scoped state snapshot
event_status_selector,Event status selector,dropdown,events,war room event table,js/app/v3/surfaces/warRoom/index.js,static scheduled|active|completed|cancelled,state.warRoom.eventCalendar.events[].status,decisionBridgeSetEventStatus,yes,decisionBridgeSetEventStatus->buildEventCalendarView->render->notifyBridgeSync,event row status|include-inactive filtering|impact eligibility,war room decision context|future report selectors,none,PASS,Status controls whether event is capacity-eligible,tier2,event_calendar,campaignId+officeId+scenarioId scoped state snapshot
event_type_selector,Event type selector,dropdown,events,war room event draft editor,js/app/v3/surfaces/warRoom/index.js,eventCalendar.options.eventTypeOptions,state.warRoom.eventCalendar.draft.eventType,decisionBridgeSetEventDraftField,yes,decisionBridgeSetEventDraftField->buildEventCalendarView->render->notifyBridgeSync,event draft fields|event table preview,war room decision context|future report selectors,none,PASS,Category-aware type options from canonical registry,tier2,event_calendar,campaignId+officeId+scenarioId scoped state snapshot
report_type_selector,Report type selector,dropdown,reporting,v3 data report composer,js/app/v3/surfaces/data/index.js,listReportTypeOptions,state.ui.reporting.request.type,dataBridgeSetReportType,yes,dataBridgeSetReportType->dataBridgeComposeReport->composeReportPayload->schedulePersist->notifyBridgeSync,data report status|data report preview|report action controls,exportReportPdf|client report pdf|internal report pdf,none,PASS,Phase 21.5 canonical reporting selector wired,tier2,reporting_controls,campaignId+officeId+scenarioId scoped state snapshot
manual_intelligence_selector,Manual intelligence selector,selector,intelligence,v3 controls stage,js/app/v3/surfaces/controls.js,scenarioBridgeStateView audits and benchmark refs,state.intelState.uiSelections.auditId|benchmarkRef,updateIntelWorkflow and attachEvidence,yes,commitUIUpdate->render,controls trust cards and evidence queue,diagnostic and audit exports,none,PASS,Manual operations control,tier1,controls,campaignId+officeId+scenarioId scoped state snapshot
intelligence_model_mode_tab,Intelligence model mode tab,tab_navigation,intelligence,v3 right rail intelligence panel,js/app/intelligenceRenderer.js,static mode tabs module|model|playbook|glossary|message|search,state.ui.intelligence.mode|state.ui.intelligence.modelId,open_model,no,no_recompute_required,intelligence panel title|sections|related links,none,none,PASS,Phase 20 model registry mode navigation,tier3,intelligence_manual_navigation,none
known_live_update_control_plan_mode,Plan mode selector live update,dropdown,plan,v3 plan stage,js/app/v3/surfaces/plan.js,PLAN_SELECT_OPTIONS.optMode,state.budget.optimize.mode,planBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,plan optimizer card and KPI strip,summary export and downstream reports,none,PASS,Previously stale now event synced,tier1,plan_optimizer,campaignId+officeId+scenarioId scoped state snapshot
plan_objective_selector,Plan objective selector,dropdown,plan,v3 plan stage,js/app/v3/surfaces/plan.js,PLAN_SELECT_OPTIONS.optObjective,state.budget.optimize.objective,planBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,plan optimizer allocation and summary cards,summary export and downstream reports,none,PASS,Canonical objective normalization,tier1,plan_optimizer,campaignId+officeId+scenarioId scoped state snapshot
plan_tl_objective_selector,Plan timeline objective selector,dropdown,plan,v3 plan stage,js/app/v3/surfaces/plan.js,PLAN_SELECT_OPTIONS.tlOptObjective,state.budget.optimize.tlConstrainedObjective,planBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,plan timeline feasibility and warnings,summary export and downstream reports,none,PASS,Canonical objective normalization,tier1,plan_optimizer,campaignId+officeId+scenarioId scoped state snapshot
plan_timeline_toggle,Timeline module toggle,toggle,plan,v3 timeline card header,js/app/v3/surfaces/plan.js,boolean toggle,state.timelineEnabled,planBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,timeline card and risk card,summary export and downstream reports,none,PASS,Module enable guard,tier1,plan_optimizer,campaignId+officeId+scenarioId scoped state snapshot
turnout_mode_selector,GOTV mode selector,dropdown,turnout,v3 turnout stage,js/app/v3/surfaces/turnout.js,TURNOUT_SELECT_OPTIONS.gotvMode,state.gotvMode,turnoutBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,turnout lift card and summary cards,summary export and downstream reports,none,PASS,Canonical option owner,tier1,turnout,campaignId+officeId+scenarioId scoped state snapshot
turnout_diminishing_toggle,Diminishing returns toggle,toggle,turnout,v3 turnout stage,js/app/v3/surfaces/turnout.js,boolean toggle,state.gotvDiminishing,turnoutBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,turnout lift card and summary cards,summary export and downstream reports,none,PASS,Canonical turnout lever,tier1,turnout,campaignId+officeId+scenarioId scoped state snapshot
outcome_mc_mode_selector,Outcome MC mode selector,dropdown,outcome,v3 outcome stage,js/app/v3/surfaces/outcome/index.js,OUTCOME_SELECT_OPTIONS.mcMode,state.mcMode,outcomeBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,outcome forecast and confidence cards,summary export and downstream reports,none,PASS,Canonical options detached from legacy DOM,tier1,outcome_forecast,campaignId+officeId+scenarioId scoped state snapshot
outcome_mc_volatility_selector,Outcome MC volatility selector,dropdown,outcome,v3 outcome stage,js/app/v3/surfaces/outcome/index.js,OUTCOME_SELECT_OPTIONS.mcVolatility,state.mcVolatility,outcomeBridgeSetField,yes,commitUIUpdate->render->notifyBridgeSync,outcome risk and confidence cards,summary export and downstream reports,none,PASS,Canonical options detached from legacy DOM,tier1,outcome_forecast,campaignId+officeId+scenarioId scoped state snapshot
outcome_surface_lever_selector,Outcome surface lever selector,dropdown,outcome,v3 outcome sensitivity card,js/app/v3/surfaces/outcome/index.js,OUTCOME_SELECT_OPTIONS.surfaceLever,state.ui.outcomeSurfaceInputs.surfaceLever,outcomeBridgeSetField,yes,outcomeBridgeApplySurfaceField->commitUIUpdate->notifyBridgeSync,outcome surface table and summary text,none,none,PASS,Surface inputs canonicalized in state,tier1,outcome_forecast,campaignId+officeId+scenarioId scoped state snapshot
outcome_surface_mode_selector,Outcome surface mode selector,dropdown,outcome,v3 outcome sensitivity card,js/app/v3/surfaces/outcome/index.js,OUTCOME_SELECT_OPTIONS.surfaceMode,state.ui.outcomeSurfaceInputs.surfaceMode,outcomeBridgeSetField,yes,outcomeBridgeApplySurfaceField->commitUIUpdate->notifyBridgeSync,outcome surface status and rows,none,none,PASS,Surface inputs canonicalized in state,tier1,outcome_forecast,campaignId+officeId+scenarioId scoped state snapshot
reach_override_mode_selector,Reach capacity override mode selector,dropdown,reach,v3 reach stage,js/app/v3/surfaces/reach.js,REACH_OVERRIDE_MODE_OPTIONS,state.twCapOverrideMode,reachBridgeSetOverrideMode,yes,commitUIUpdate->render->notifyBridgeSync,reach weekly and outlook cards,summary export and downstream reports,none,PASS,Canonical override mode,tier3,admin_support,campaignId+officeId+scenarioId scoped state snapshot
reach_override_enabled_toggle,Reach override enabled toggle,toggle,reach,v3 reach stage,js/app/v3/surfaces/reach.js,boolean toggle,state.twCapOverrideEnabled,reachBridgeSetOverrideEnabled,yes,commitUIUpdate->render->notifyBridgeSync,reach weekly and outlook cards,summary export and downstream reports,none,PASS,Canonical override gate,tier3,admin_support,campaignId+officeId+scenarioId scoped state snapshot
data_restore_backup_selector,Restore backup selector,selector,data,v3 data stage,js/app/v3/surfaces/data/index.js,dataBridgeBuildBackupOptions,dataBridgeSelectedBackup transient and restored state,dataBridgeRestoreBackup,yes,restoreBackupByIndex->render->notifyBridgeSync,data status and archive summaries,state export and archive,none,PASS,Restore is state replacement path,tier1,data,campaignId+officeId scoped state snapshot
data_archive_selector,Archive selection selector,selector,data,v3 data stage,js/app/v3/surfaces/data/index.js,dataBridgeBuildArchiveOptions,dataBridgeSelectedArchiveHash,dataBridgeSetArchiveSelection,no,no_recompute_required,data archive detail block and save control,archive actual save output,none,PASS,Selection is non mutating,tier1,data,none
data_voter_adapter_selector,Voter adapter selector,dropdown,data,v3 voter import card,js/app/v3/surfaces/data/index.js,listDataVoterAdapterOptions,state.voterData.manifest.adapterId,dataBridgeImportVoterRows,yes,normalizeVoterRows->setState->commitUIUpdate,voter layer status and data warnings,voter source refs and report inputs,none,PASS,Adapter selection applies at import submit,tier1,data,campaignId+officeId+scenarioId scoped state snapshot
decision_session_selector,Decision session selector,selector,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,decisionBridgeStateView.sessions,state.ui.decision.activeSessionId,decisionBridgeSelectSession,yes,decisionBridgeSelectSession->render->notifyBridgeSync,war room summary and diagnostics tables,decision summary export json,none,PASS,Canonical war room session owner,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
decision_option_selector,Decision option selector,selector,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,decisionBridgeStateView.options,state.ui.decision.sessions[].activeOptionId,decisionBridgeSelectOption,yes,decisionBridgeSelectOption->render->notifyBridgeSync,war room option pane and recommendation status,decision summary export json,none,PASS,Canonical war room option owner,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
decision_recommend_selector,Decision recommend selector,selector,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,decisionBridgeStateView.options,state.ui.decision.sessions[].recommendedOptionId,decisionBridgeSetRecommendedOption,yes,decisionBridgeSetRecommendedOption->persist->notifyBridgeSync,war room recommendation summary and status tags,decision summary export json,none,PASS,Recommendation path canonical,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
war_room_watch_items_input,War room watch items,numeric_input,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,direct_input,state.ui.decision.sessions[].warRoom.watchItems,decisionBridgeUpdateSessionField,yes,decisionBridgeUpdateSessionField->persist->notifyBridgeSync,war room recommendation card and decision log payload,decision summary export json and future reports,none,PASS,Watch-vs-decision separation is canonical,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
war_room_decision_items_input,War room decision items,numeric_input,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,direct_input,state.ui.decision.sessions[].warRoom.decisionItems,decisionBridgeUpdateSessionField,yes,decisionBridgeUpdateSessionField->persist->notifyBridgeSync,war room recommendation card and decision log payload,decision summary export json and future reports,none,PASS,Decision item list is canonical,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
war_room_owner_input,War room owner input,text_input,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,direct_input,state.ui.decision.sessions[].warRoom.owner,decisionBridgeUpdateSessionField,yes,decisionBridgeUpdateSessionField->persist->notifyBridgeSync,war room recommendation card and decision log rows,decision summary export json and future reports,none,PASS,Owner accountability is canonical,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
war_room_follow_up_date,War room follow-up date,date_input,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,direct_input,state.ui.decision.sessions[].warRoom.followUpDate,decisionBridgeUpdateSessionField,yes,decisionBridgeUpdateSessionField->persist->notifyBridgeSync,war room recommendation card and decision log rows,decision summary export json and future reports,none,PASS,Follow-up traceability is canonical,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
war_room_capture_review_button,War room capture review baseline,button,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,button_action,state.ui.decision.sessions[].warRoom.lastReview,decisionBridgeCaptureReviewBaseline,yes,decisionBridgeCaptureReviewBaseline->persist->notifyBridgeSync,war room change classification and top drivers,decision summary export json and future reports,none,PASS,Baseline capture anchors signal-vs-noise comparison,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
war_room_log_decision_button,War room log decision,button,war_room,v3 war room stage,js/app/v3/surfaces/warRoom/index.js,button_action,state.ui.decision.sessions[].warRoom.decisionLog,decisionBridgeLogDecision,yes,decisionBridgeLogDecision->persist->notifyBridgeSync,war room decision log table and follow-through status,decision summary export json and future reports,none,PASS,Decision logging is canonical follow-through path,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
district_geo_level_selector,Targeting geography level selector,dropdown,district,v3 district targeting block,js/app/v3/surfaces/district/index.js,listTargetGeoLevels,state.targeting.geoLevel,setDistrictTargetingField,yes,districtBridgeSetTargetingField->setState->commitUIUpdate->render->notifyBridgeSync,targeting status cards|results table,targeting csv|targeting json,none,PASS,Canonical targeting geometry input,tier1,targeting,campaignId+officeId+scenarioId scoped state snapshot
district_density_floor_selector,Targeting density floor selector,dropdown,district,v3 district targeting block,js/app/v3/surfaces/district/index.js,TARGETING_DENSITY_OPTIONS,state.targeting.criteria.densityFloor,setDistrictTargetingField,yes,districtBridgeSetTargetingField->setState->commitUIUpdate->render->notifyBridgeSync,targeting status cards|results table,targeting csv|targeting json,none,PASS,Canonical targeting density control,tier1,targeting,campaignId+officeId+scenarioId scoped state snapshot
district_electorate_weighting_toggle,Electorate weighting toggle,toggle,district,v3 district composition,js/app/v3/surfaces/district/index.js,boolean_toggle,state.universeLayerEnabled,setDistrictFormField,yes,districtBridgeSetFormField->markMcStale->setState->commitUIUpdate->render,district composition derived text|warnings|summary cards,scenario exports|diagnostic snapshots,none,PASS,Corrected canonical state path,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
census_metric_set_selector,Census metric set selector,dropdown,census,v3 district census block,js/app/v3/surfaces/district/index.js,listMetricSetOptions,state.census.metricSet,setDistrictCensusField,yes,setDistrictCensusField->commitUIUpdate->render->notifyBridgeSync->refreshActiveStage,census advisory table|status chips,census diagnostics and report inputs,none,PASS,Legacy dependency removed for integrity harness classification,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
census_apply_adjustments_toggle,Census apply adjustments toggle,toggle,census,v3 district census block,js/app/v3/surfaces/district/index.js,boolean_toggle,state.census.applyAdjustedAssumptions,setDistrictCensusField,yes,setDistrictCensusField->commitUIUpdate->render->notifyBridgeSync->refreshActiveStage,apply-adjustments status|advisory windows,census diagnostics and report inputs,none,PASS,Persistence and render wiring verified,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
intel_brief_kind_selector,Intel brief kind selector,dropdown,intelligence,v3 controls stage,js/app/v3/surfaces/controls.js,static brief kind options,state.intelState.uiSelections.briefKind,generateIntelBrief,yes,scenarioBridgeGenerateIntelBrief->commitUIUpdate,controls brief preview and workflow status,diagnostic export bundle,none,PASS,Control drives generated brief,tier1,controls,campaignId+officeId+scenarioId scoped state snapshot
nav_stage_tab,Navigation stage tab,tab_navigation,v3_shell,v3 nav rail,js/app/v3/index.js,stageRegistry entries,localStorage:fpe-ui-v3-stage::{campaignId::officeId} + query.stage,persistStage,no,no_recompute_required,page title and mounted stage pane,none,none,PASS,Navigation changes view not model state,tier3,intelligence_manual_navigation,localStorage:ui-stage
district_mode_selector,District mode selector,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listDistrictModeOptions,state.mode,setDistrictFormField,yes,districtBridgeSetFormField->setState->commitUIUpdate->render->notifyBridgeSync,district brief band|setup summary cards,scenario exports|diagnostic snapshots,none,PASS,Canonical mode options detached from legacy DOM,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_office_level_selector,Office level selector,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listTemplateDimensionOptions(officeLevel),state.templateMeta.officeLevel,setDistrictFormField,yes,districtBridgeSetFormField->applyTemplateDefaultsForRace->setState->commitUIUpdate,template profile|district setup summaries,scenario exports|diagnostic snapshots,none,PASS,Template dimension selector,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_election_type_selector,Election type selector,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listTemplateDimensionOptions(electionType),state.templateMeta.electionType,setDistrictFormField,yes,districtBridgeSetFormField->applyTemplateDefaultsForRace->setState->commitUIUpdate,template profile|district setup summaries,scenario exports|diagnostic snapshots,none,PASS,Template dimension selector,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_seat_context_selector,Seat context selector,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listTemplateDimensionOptions(seatContext),state.templateMeta.seatContext,setDistrictFormField,yes,districtBridgeSetFormField->applyTemplateDefaultsForRace->setState->commitUIUpdate,template profile|district setup summaries,scenario exports|diagnostic snapshots,none,PASS,Template dimension selector,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_partisanship_mode_selector,Partisanship mode selector,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listTemplateDimensionOptions(partisanshipMode),state.templateMeta.partisanshipMode,setDistrictFormField,yes,districtBridgeSetFormField->applyTemplateDefaultsForRace->setState->commitUIUpdate,template profile|district setup summaries,scenario exports|diagnostic snapshots,none,PASS,Template dimension selector,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_salience_level_selector,Salience level selector,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listTemplateDimensionOptions(salienceLevel),state.templateMeta.salienceLevel,setDistrictFormField,yes,districtBridgeSetFormField->applyTemplateDefaultsForRace->setState->commitUIUpdate,template profile|district setup summaries,scenario exports|diagnostic snapshots,none,PASS,Template dimension selector,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_election_date_input,Election date input,date_input,district,v3 district race setup,js/app/v3/surfaces/district/index.js,direct_input,state.electionDate,setDistrictFormField,yes,districtBridgeSetFormField->setState->commitUIUpdate->render->notifyBridgeSync,district brief timeline|setup summaries,scenario exports|diagnostic snapshots,none,PASS,Sticky via campaign-office-scenario scoped state persistence,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_weeks_remaining_input,Weeks remaining input,numeric_input,district,v3 district race setup,js/app/v3/surfaces/district/index.js,direct_input,state.weeksRemaining,setDistrictFormField,yes,districtBridgeSetFormField->setState->commitUIUpdate->render->notifyBridgeSync,district brief timeline|setup summaries,scenario exports|diagnostic snapshots,none,PASS,Sticky via campaign-office-scenario scoped state persistence,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
district_universe_size_input,Universe size input,numeric_input,district,v3 district electorate setup,js/app/v3/surfaces/district/index.js,direct_input,state.universeSize,setDistrictFormField,yes,districtBridgeSetFormField->setState->commitUIUpdate->render->notifyBridgeSync,district summary cards|downstream KPI cards,scenario exports|diagnostic snapshots,none,PASS,Canonical universe denominator input,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
