artifact_type,artifact_id,artifact_path,concept_represents,feeds_canonical_state,canonical_math_use,material_decision_impact,redundant_with_stronger_concept,if_removed_what_gets_worse,classification,owner_action,phase_target,notes
input_control,district_undecided_pct_input,js/app/v3/surfaces/district.js,Undecided percent input (numeric_input) writes state.undecidedPct,yes,yes,yes,none,breaks ballot totals|warning panel|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Ballot denominator control
input_control,district_undecided_mode_selector,js/app/v3/surfaces/district.js,Undecided mode selector (dropdown) writes state.undecidedMode,yes,yes,yes,none,breaks user split panel visibility|ballot warnings|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Canonical undecided option source detached from legacy DOM
input_control,district_candidate_name_input,js/app/v3/surfaces/district.js,Candidate name input rows (text_input_group) writes state.candidates[].name,yes,yes,yes,none,breaks candidate table|your candidate selector|user split labels and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Dynamic control group keyed by candidate id
input_control,district_candidate_support_input,js/app/v3/surfaces/district.js,Candidate support percent input rows (numeric_input_group) writes state.candidates[].supportPct,yes,yes,yes,none,breaks candidate table totals|warnings|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Dynamic control group keyed by candidate id
input_control,district_user_split_input,js/app/v3/surfaces/district.js,User split input rows (numeric_input_group) writes state.userSplit[candidateId],yes,yes,yes,none,breaks user split panel|ballot warnings|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Visible when undecided mode is user_defined
input_control,district_targeting_top_n_input,js/app/v3/surfaces/district.js,Targeting top N input (numeric_input) writes state.targeting.topN,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_min_housing_input,js/app/v3/surfaces/district.js,Targeting minimum housing units input (numeric_input) writes state.targeting.minHousingUnits,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_min_population_input,js/app/v3/surfaces/district.js,Targeting minimum population input (numeric_input) writes state.targeting.minPopulation,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_min_score_input,js/app/v3/surfaces/district.js,Targeting minimum score input (numeric_input) writes state.targeting.minScore,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_only_race_footprint_toggle,js/app/v3/surfaces/district.js,Only race footprint toggle (toggle) writes state.targeting.onlyRaceFootprint,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_prioritize_young_toggle,js/app/v3/surfaces/district.js,Prioritize young toggle (toggle) writes state.targeting.criteria.prioritizeYoung,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_prioritize_renters_toggle,js/app/v3/surfaces/district.js,Prioritize renters toggle (toggle) writes state.targeting.criteria.prioritizeRenters,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_avoid_high_multi_unit_toggle,js/app/v3/surfaces/district.js,Avoid high multi-unit toggle (toggle) writes state.targeting.criteria.avoidHighMultiUnit,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_weight_vote_potential_input,js/app/v3/surfaces/district.js,Weight vote potential input (numeric_input) writes state.targeting.weights.votePotential,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,district_targeting_weight_turnout_opportunity_input,js/app/v3/surfaces/district.js,Weight turnout opportunity input (numeric_input) writes state.targeting.weights.turnoutOpportunity,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,district_targeting_weight_persuasion_index_input,js/app/v3/surfaces/district.js,Weight persuasion index input (numeric_input) writes state.targeting.weights.persuasionIndex,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,district_targeting_weight_field_efficiency_input,js/app/v3/surfaces/district.js,Weight field efficiency input (numeric_input) writes state.targeting.weights.fieldEfficiency,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,census_api_key_input,js/app/v3/surfaces/district.js,Census API key input (text_input) writes state.census.bridgeApiKey,yes,yes,yes,none,breaks census status chip|lookup selectors and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Persistence corrected to canonical commit path
input_control,census_acs_year_selector,js/app/v3/surfaces/district.js,Census ACS year selector (dropdown) writes state.census.year,yes,yes,yes,none,breaks census status chip|rows summary|advisory tables and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_resolution_selector,js/app/v3/surfaces/district.js,Census resolution selector (dropdown) writes state.census.resolution,yes,yes,yes,none,breaks census lookup controls|rows summary|map status and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_state_fips_selector,js/app/v3/surfaces/district.js,Census state selector (dropdown) writes state.census.stateFips,yes,yes,yes,none,breaks county and place selectors|status chips and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_county_fips_selector,js/app/v3/surfaces/district.js,Census county selector (dropdown) writes state.census.countyFips,yes,yes,yes,none,breaks geo availability and status chips and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_place_fips_selector,js/app/v3/surfaces/district.js,Census place selector (dropdown) writes state.census.placeFips,yes,yes,yes,none,breaks geo selection list and status chips and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_geo_search_input,js/app/v3/surfaces/district.js,Census GEO search input (text_input) writes state.census.geoSearch,yes,yes,yes,none,breaks geo selector filtering and status text,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_tract_filter_selector,js/app/v3/surfaces/district.js,Census tract filter selector (dropdown) writes state.census.tractFilter,yes,yes,yes,none,breaks geo selector filtering and status text and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_geo_paste_input,js/app/v3/surfaces/district.js,Census GEO paste input (textarea_input) writes state.census.bridgeGeoPaste,yes,yes,yes,none,breaks geo paste status and selection controls,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_selection_set_name_input,js/app/v3/surfaces/district.js,Selection set draft name input (text_input) writes state.census.selectionSetDraftName,yes,yes,yes,none,breaks selection set controls|status chips,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_selection_set_selector,js/app/v3/surfaces/district.js,Selection set selector (dropdown) writes state.census.selectedSelectionSetKey,yes,yes,yes,none,breaks selection set controls|status chips,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_election_precinct_filter_input,js/app/v3/surfaces/district.js,Election CSV precinct filter input (text_input) writes state.census.bridgeElectionCsvPrecinctFilter,yes,yes,yes,none,breaks dry-run preview meta and status,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_map_qa_vtd_toggle,js/app/v3/surfaces/district.js,Map QA VTD overlay toggle (toggle) writes state.census.mapQaVtdOverlay,yes,yes,yes,none,breaks map status strip and overlay mode state,KEEP,retain canonical path,phase23,Map QA toggle persistence corrected
input_control,census_geo_select_multiselect,js/app/v3/surfaces/district.js,GEO multi-select selector (selector) writes state.census.selectedGeoids[],yes,yes,yes,none,breaks selection summary|geo stats|advisory rows and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Selection stickiness fixed by persistent commit path
input_control,census_election_csv_file_input,js/app/v3/surfaces/district.js,Election CSV file input (file_input) writes runtime.censusRuntimeFileCache.electionCsvFile,yes,yes,yes,none,breaks dry-run status and preview metadata,KEEP,retain canonical path,phase23,File object intentionally session-scoped; not reload-sticky by design
input_control,census_map_vtd_zip_file_input,js/app/v3/surfaces/district.js,Map QA VTD ZIP file input (file_input) writes runtime.censusRuntimeFileCache.mapQaVtdZip,yes,yes,yes,none,breaks map qa status strip and overlay state,KEEP,retain canonical path,phase23,File object intentionally session-scoped; not reload-sticky by design
input_control,district_candidate_history_add_button,js/app/v3/surfaces/district.js,Candidate history add-row button (button) writes state.candidateHistory[],yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Adds canonical candidate-history record rows
input_control,district_candidate_history_office_input,js/app/v3/surfaces/district.js,Candidate history office input (text_input) writes state.candidateHistory[].office,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Office context field for candidate-history record
input_control,district_candidate_history_cycle_year_input,js/app/v3/surfaces/district.js,Candidate history cycle year input (number_input) writes state.candidateHistory[].cycleYear,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Cycle year drives recency weighting for baseline
input_control,district_candidate_history_election_type_selector,js/app/v3/surfaces/district.js,Candidate history election type selector (dropdown) writes state.candidateHistory[].electionType,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Canonical election type options from candidateHistoryBaseline registry
input_control,district_candidate_history_candidate_name_input,js/app/v3/surfaces/district.js,Candidate history candidate name input (text_input) writes state.candidateHistory[].candidateName,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Name matching feeds candidate-history adjustment mapping
input_control,district_candidate_history_party_input,js/app/v3/surfaces/district.js,Candidate history party input (text_input) writes state.candidateHistory[].party,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Party field persisted for ballot baseline context
input_control,district_candidate_history_incumbency_selector,js/app/v3/surfaces/district.js,Candidate history incumbency selector (dropdown) writes state.candidateHistory[].incumbencyStatus,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Incumbency signal influences template/forecast framing
input_control,district_candidate_history_vote_share_input,js/app/v3/surfaces/district.js,Candidate history vote share input (number_input) writes state.candidateHistory[].voteShare,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Vote share captures historical baseline performance
input_control,district_candidate_history_margin_turnout_inputs,js/app/v3/surfaces/district.js,Candidate history margin/turnout inputs (number_input) writes state.candidateHistory[].margin|state.candidateHistory[].turnoutContext,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Margin and turnout context shape candidate-history baseline confidence
input_control,district_candidate_history_repeat_over_under_controls,js/app/v3/surfaces/district.js,Candidate history repeat/over-under controls (toggle) writes state.candidateHistory[].repeatCandidate|state.candidateHistory[].overUnderPerformancePct,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Repeat and over/under performance feed baseline shift logic
input_control,district_candidate_history_remove_button,js/app/v3/surfaces/district.js,Candidate history remove-row button (button) writes state.candidateHistory[],yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Removes candidate-history record via canonical mutation path
helper_runtime,v3_stage_registry_canonical_only,js/app/v3/stageRegistry.js,V3 stage resolver accepts only canonical v3 stage ids and falls back to default stage,no,no,yes,legacy stage alias compatibility routing,Ambiguous routing and continued legacy coupling,KEEP,retain canonical-only stage resolution,phase24,legacyStageIds/getStageByLegacyId removed
helper_runtime,v3_right_rail_native_owner,"js/app/v3/stageMount.js + index.html",V3 right rail is owned by intelligence panel and legacy rail is parked in legacyDomPool,mixed,no,yes,none,Right-rail context rendering degrades if native intelligence panel fails,KEEP,retain native owner and block legacy slot attach,phase24,Replaced legacy slot attach path in stage mount and bootstrap script
helper_runtime,training_toggle_bridge_api_first,js/app/v3/index.js,V3 training toggle uses shell bridge API first with body-class fallback and no legacy toggle dispatch,mixed,no,yes,none,Training/playbook visibility controls degrade if shell bridge and fallback both fail,KEEP,retain API-first bridge path and keep fallback minimal,phase24,Legacy toggle dispatch removed from v3 shell
helper_runtime,usb_status_canonical_owner,js/appRuntime.js,Data bridge USB status text resolves from canonical bridge state only,yes,no,no,none,Data surface USB status messaging degrades,KEEP,retain canonical owner and block legacy DOM fallback,phase23,Simplified in phase23 by removing legacy DOM fallback read
helper_facade,render_intel_checks_facade,js/renderIntelChecks.js,Compatibility re-export facade to app/renderIntelChecks,no,no,no,js/app/renderIntelChecks.js direct import,None if imports repointed; simplifies module graph,REMOVE,remove facade after import cleanup,phase23-24,Low risk prune
helper_facade,wire_events_runtime_facade,js/wireEventsRuntime.js,Compatibility re-export facade to app/wireEventsRuntime,no,no,no,js/app/wireEventsRuntime.js direct import,None if imports repointed; simplifies module graph,REMOVE,remove facade after import cleanup,phase23-24,Low risk prune
helper_facade,wire_events_facade,js/app/wireEvents.js,Compatibility re-export wrapper for wireEventsRuntime,no,no,no,js/app/wireEventsRuntime.js direct import,None if imports repointed; simplifies module graph,REMOVE,remove facade after import cleanup,phase23-24,Low risk prune
formula_owner,master_targeting_equation,js/core/targetFeatureEngine.js,Canonical targeting law v1 scoring stack and expectedNetVoteValue,yes,yes,yes,none,Targeting/optimizer/report outputs become non-canonical,KEEP,retain as single formula owner,phase23,Locked in Phase 21
formula_owner,support_turnout_matrix,js/core/targetModels.js,Canonical support-turnout raw signal derivation,yes,yes,yes,none,Universe segmentation and targeting degrade,KEEP,retain canonical owner,phase23,Mapped in modelRegistry
formula_owner,contact_saturation_multiplier,js/core/targetFeatureEngine.js,Canonical saturation multiplier used in targetScore,yes,yes,yes,none,Late-cycle gains become overstated,KEEP,retain canonical owner,phase23,Realism alignment required
formula_owner,volunteer_capacity_math,js/core/model.js,Canonical workforce capacity/output constraints by role typing,yes,yes,yes,none,Operations realism and optimizer constraints break,KEEP,retain canonical owner,phase23,Role typing integrated
formula_owner,channel_cost_metrics,js/core/channelCosts.js,Canonical channel cost/efficiency metrics for strategy and reporting,yes,yes,yes,none,Budget realism and optimizer outputs degrade,KEEP,retain canonical owner,phase23,Budget realism dependency
formula_owner,validation_readiness_scoring,js/app/modelReadiness.js,Canonical readiness score/band and grouped issue status,yes,yes,yes,none,Trust framing and module gating become inconsistent,KEEP,retain canonical owner,phase23,Validation centralization
formula_owner,realism_engine,js/app/realismEngine.js,Canonical plausibility scoring/classification and flags,yes,yes,yes,none,System can be confidently wrong,KEEP,retain canonical owner,phase23,Separate from validation by law
warning_layer,canonical_message_registry,js/app/messageRegistry.js,Canonical warning/info/option explanations,no,no,yes,hardcoded component text,Explanations fragment and drift,KEEP,retain as one warning meaning owner,phase23,Phase 12 requirement
warning_layer,render_file_warning_text,js/app/v3/surfaces/*,Inline warning meaning text in render surfaces,no,no,yes,messageRegistry/intelligenceResolver,Duplicate interpretation logic,REMOVE,delete meaning text from render files and resolve via registry,phase23-24,No instructional text in render files
render_surface,data_surface_reporting_controls,js/app/v3/surfaces/data.js,Report type/compose/export controls bound to canonical reporting state,yes,no_or_indirect,yes,none,Client/internal reporting surface loses operability,KEEP,retain canonical bindings,phase23,Phase 21.5 complete
render_surface,decision_surface_weather_card,js/app/v3/surfaces/decisionLog.js,War Room weather/field risk and bounded same-day modifier controls,yes,yes,yes,none,Field risk guidance and same-day operational adjustment fail,KEEP,retain canonical wiring,phase23,Phase 18.5 dependency
render_surface,event_calendar_surface,js/app/v3/surfaces/decisionLog.js,Calendar/events controls with capacity-only model effect,yes,yes,yes,none,Operational planning and event impact traceability degrade,KEEP,retain canonical wiring,phase23,Phase 18.75 dependency
export_surface,summary_export_text,js/export.js,Human-readable summary export from canonical outputs only,no,no,yes,parallel UI math formatting,Export/report mismatch risk,KEEP,retain canonical summary export path (audited no independent business math),phase24,Canonical math gate enforced and audited
export_surface,client_internal_report_composer,js/app/reportComposer.js,Client/internal report composition from canonical selector snapshot,no,no,yes,independent report calculations,Strategic report inconsistency with runtime truth,KEEP,retain canonical report composition path,phase23,Phase 21.5 complete
export_surface,pdf_export_runtime,js/app/pdfExport.js,PDF/print delivery layer for composed report payloads,no,no,yes,raw dashboard dump/export hacks,Loss of delegable client deliverable surface,KEEP,retain as presentation-only export layer,phase23,No independent math allowed
registry_layer,model_registry_metadata,js/app/modelRegistry.js,Canonical model metadata map and coverage verification,no,no,yes,shadow model docs scattered in UI,Model coverage omissions and duplicate logic risk,KEEP,retain metadata-only registry,phase23,Phase 22 complete
registry_layer,doctrine_registry,js/app/moduleDoctrineRegistry.js,Canonical doctrine/manual operating system content,no,no,yes,legacy training/help copy,Meaning drift and operating discipline loss,KEEP,retain canonical doctrine owner,phase23,Training replaced by doctrine/playbook
registry_layer,glossary_registry,js/app/glossaryRegistry.js,Canonical glossary terms and definitions,no,no,yes,inline term definitions,Term inconsistency across modules,KEEP,retain canonical glossary owner,phase23,Phase 12 requirement
registry_layer,playbook_registry,js/app/playbookRegistry.js,Canonical strategic playbook guidance replacing training,no,no,yes,legacy training text,Strategy guidance fragmentation,KEEP,retain playbook owner,phase23,Phase 19 requirement
diagnostic_prep,qa_gates_stable_vs_transitional_split,js/app/v3/qaGates.js,V3 QA smoke separates stable checks from transitional legacy-retirement checks with explicit opt-in for legacy suite,no,no,yes,future RG-06 contract+diagnostic assertions,Stable release checks can include transitional assumptions if this split regresses,KEEP,retain split smoke suites and keep legacy-retirement checks opt-in,phase24,Resolved from Phase 22.5 audit
build_gate,strict_chunk_warning_budget,"scripts/gate-rebuild.mjs + vite.config.js",Release gate uses strict warnings with explicit bundle budget via Vite chunk warning limit,no,no,yes,none,Build strict gate can become noisy or fail without explicit budget ownership,KEEP,retain explicit strict warning policy with versioned budget,phase24,Resolved in phase24 by setting chunkSizeWarningLimit=2100 and validating gate pass
